Hora,GHI_W_m2,Gmod,Generacion_PV,Consumo,Diferencia_Energia_kW,Exceso_Energia_kW,Deficit_Energia_kW,Energia_GHI_Acumulada_Wh,Energia_Gmod_Acumulada_Wh,Energia_PV_Acumulada_Wh,Energia_Consumo_Acumulada_Wh,Capacidad_Sistema_Wp,Num_Modulos,Eficiencia_Modulo,Area_Total_m2,Perdidas_Sistema
0.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,175.0,17400,30.0,0.221,79.35,0.04
0.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,350.0,17400,30.0,0.221,79.35,0.04
1.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,525.0,17400,30.0,0.221,79.35,0.04
1.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,700.0,17400,30.0,0.221,79.35,0.04
2.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,875.0,17400,30.0,0.221,79.35,0.04
2.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1050.0,17400,30.0,0.221,79.35,0.04
3.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1225.0,17400,30.0,0.221,79.35,0.04
3.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1400.0,17400,30.0,0.221,79.35,0.04
4.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1575.0,17400,30.0,0.221,79.35,0.04
4.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1750.0,17400,30.0,0.221,79.35,0.04
5.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,1925.0,17400,30.0,0.221,79.35,0.04
5.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,0.0,0.0,0.0,2100.0,17400,30.0,0.221,79.35,0.04
6.0,0.0,0.0,0.0,410,-0.41,0.0,-0.41,0.0,0.0,0.0,2305.0,17400,30.0,0.221,79.35,0.04
6.5,0.0,0.0,0.0,510,-0.51,0.0,-0.51,0.0,0.0,0.0,2560.0,17400,30.0,0.221,79.35,0.04
7.0,0.0,0.0,0.0,410,-0.41,0.0,-0.41,0.0,0.0,0.0,2765.0,17400,30.0,0.221,79.35,0.04
7.5,11.36,22.71,310.95399703680005,410,-0.09904600296319993,0.0,-0.09904600296319993,5.68,11.355,155.47699851840002,2970.0,17400,30.0,0.221,79.35,0.04
8.0,22.72,45.42,621.9079940736001,470,0.15190799407360012,0.15190799407360012,0.0,17.04,34.065,466.43099555520007,3205.0,17400,30.0,0.221,79.35,0.04
8.5,153.98,254.90499999999997,3490.2566541024,470,3.0202566541023996,3.0202566541023996,0.0,94.03,161.51749999999998,2211.5593226064,3440.0,17400,30.0,0.221,79.35,0.04
9.0,285.24,464.39,6358.605314131201,350,6.008605314131202,6.008605314131202,0.0,236.65,393.7125,5390.861979672001,3615.0,17400,30.0,0.221,79.35,0.04
9.5,376.13,581.625,7963.83172728,350,7.613831727280001,7.613831727280001,0.0,424.71500000000003,684.525,9372.777843312002,3790.0,17400,30.0,0.221,79.35,0.04
10.0,467.02,698.86,9569.0581404288,350,9.219058140428801,9.219058140428801,0.0,658.225,1033.955,14157.306913526401,3965.0,17400,30.0,0.221,79.35,0.04
10.5,535.98,785.3299999999999,10753.0384188864,350,10.403038418886402,10.403038418886402,0.0,926.215,1426.62,19533.8261229696,4140.0,17400,30.0,0.221,79.35,0.04
11.0,604.94,871.8,11937.018697344001,350,11.587018697344002,11.587018697344002,0.0,1228.685,1862.52,25502.3354716416,4315.0,17400,30.0,0.221,79.35,0.04
11.5,644.97,924.0899999999999,12652.9933563072,350,12.302993356307201,12.302993356307201,0.0,1551.17,2324.565,31828.8321497952,4490.0,17400,30.0,0.221,79.35,0.04
12.0,685.0,976.38,13368.9680152704,350,13.018968015270401,13.018968015270401,0.0,1893.67,2812.755,38513.316157430396,4665.0,17400,30.0,0.221,79.35,0.04
12.5,692.8,993.015,13596.740791171202,1188,12.408740791171201,12.408740791171201,0.0,2240.07,3309.2625000000003,45311.686553016,5259.0,17400,30.0,0.221,79.35,0.04
13.0,700.6,1009.65,13824.513567072003,1248,12.576513567072004,12.576513567072004,0.0,2590.3700000000003,3814.0875,52223.943336552,5883.0,17400,30.0,0.221,79.35,0.04
13.5,675.47,991.4200000000001,13574.901441753604,1010,12.564901441753603,12.564901441753603,0.0,2928.1050000000005,4309.797500000001,59011.394057428806,6388.0,17400,30.0,0.221,79.35,0.04
14.0,650.34,973.19,13325.289316435203,410,12.915289316435203,12.915289316435203,0.0,3253.2750000000005,4796.392500000001,65674.03871564641,6593.0,17400,30.0,0.221,79.35,0.04
14.5,593.72,923.81,12649.1594893248,350,12.2991594893248,12.2991594893248,0.0,3550.1350000000007,5258.297500000001,71998.61846030882,6768.0,17400,30.0,0.221,79.35,0.04
15.0,537.1,874.43,11973.029662214401,350,11.623029662214401,11.623029662214401,0.0,3818.685000000001,5695.512500000001,77985.13329141602,6943.0,17400,30.0,0.221,79.35,0.04
15.5,454.82000000000005,809.5899999999999,11085.215608147202,350,10.735215608147202,10.735215608147202,0.0,4046.0950000000007,6100.307500000001,83527.74109548962,7118.0,17400,30.0,0.221,79.35,0.04
16.0,372.54,744.75,10197.401554080001,350,9.847401554080001,9.847401554080001,0.0,4232.365000000001,6472.682500000001,88626.44187252961,7293.0,17400,30.0,0.221,79.35,0.04
16.5,273.48,634.005,8681.0387006304,350,8.331038700630401,8.331038700630401,0.0,4369.1050000000005,6789.685,92966.96122284481,7468.0,17400,30.0,0.221,79.35,0.04
17.0,174.42,523.26,7164.675847180799,450,6.714675847180799,6.714675847180799,0.0,4456.3150000000005,7051.3150000000005,96549.29914643521,7693.0,17400,30.0,0.221,79.35,0.04
17.5,87.32,261.63,3582.3379235903994,588,2.9943379235903995,2.9943379235903995,0.0,4499.975,7182.13,98340.46810823042,7987.0,17400,30.0,0.221,79.35,0.04
18.0,0.22,0.0,0.0,888,-0.888,0.0,-0.888,4500.085,7182.13,98340.46810823042,8431.0,17400,30.0,0.221,79.35,0.04
18.5,0.11,0.0,0.0,810,-0.81,0.0,-0.81,4500.14,7182.13,98340.46810823042,8836.0,17400,30.0,0.221,79.35,0.04
19.0,0.0,0.0,0.0,870,-0.87,0.0,-0.87,4500.14,7182.13,98340.46810823042,9271.0,17400,30.0,0.221,79.35,0.04
19.5,0.0,0.0,0.0,570,-0.57,0.0,-0.57,4500.14,7182.13,98340.46810823042,9556.0,17400,30.0,0.221,79.35,0.04
20.0,0.0,0.0,0.0,530,-0.53,0.0,-0.53,4500.14,7182.13,98340.46810823042,9821.0,17400,30.0,0.221,79.35,0.04
20.5,0.0,0.0,0.0,410,-0.41,0.0,-0.41,4500.14,7182.13,98340.46810823042,10026.0,17400,30.0,0.221,79.35,0.04
21.0,0.0,0.0,0.0,410,-0.41,0.0,-0.41,4500.14,7182.13,98340.46810823042,10231.0,17400,30.0,0.221,79.35,0.04
21.5,0.0,0.0,0.0,410,-0.41,0.0,-0.41,4500.14,7182.13,98340.46810823042,10436.0,17400,30.0,0.221,79.35,0.04
22.0,0.0,0.0,0.0,410,-0.41,0.0,-0.41,4500.14,7182.13,98340.46810823042,10641.0,17400,30.0,0.221,79.35,0.04
22.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,4500.14,7182.13,98340.46810823042,10816.0,17400,30.0,0.221,79.35,0.04
23.0,0.0,0.0,0.0,350,-0.35,0.0,-0.35,4500.14,7182.13,98340.46810823042,10991.0,17400,30.0,0.221,79.35,0.04
23.5,0.0,0.0,0.0,350,-0.35,0.0,-0.35,4500.14,7182.13,98340.46810823042,11166.0,17400,30.0,0.221,79.35,0.04
