Hora,Generacion_PV,Consumo,Balance_Energetico,Energia_Bateria_Wh,SOC,Energia_Cargada,Energia_Descargada
0,0.0,350,-350.0,62241.1111111111,0.9937906931360547,0.0,388.88888888888886
1,0.0,350,-350.0,61852.22222222221,0.9875813862721096,0.0,388.88888888888886
2,0.0,350,-350.0,61463.33333333332,0.9813720794081643,0.0,388.88888888888886
3,0.0,350,-350.0,61074.44444444443,0.975162772544219,0.0,388.88888888888886
4,0.0,350,-350.0,60685.55555555554,0.9689534656802737,0.0,388.88888888888886
5,0.0,350,-350.0,60296.66666666665,0.9627441588163286,0.0,388.88888888888886
6,0.0,350,-350.0,59907.77777777776,0.9565348519523833,0.0,388.88888888888886
7,0.0,350,-350.0,59518.88888888887,0.950325545088438,0.0,388.88888888888886
8,0.0,350,-350.0,59129.99999999998,0.9441162382244929,0.0,388.88888888888886
9,0.0,350,-350.0,58741.11111111109,0.9379069313605476,0.0,388.88888888888886
10,0.0,350,-350.0,58352.2222222222,0.9316976244966023,0.0,388.88888888888886
11,5.11488,350,-344.88512,57969.016533333306,0.9255790600883492,0.0,383.20568888888886
12,10.22976,410,-399.77024,57524.82737777775,0.9184867855305406,0.0,444.18915555555554
13,281.31840000000005,810,-528.6815999999999,56937.40337777775,0.9091075104227648,0.0,587.4239999999999
14,552.40704,1310,-757.59296,56095.63342222219,0.8956671470896088,0.0,841.7699555555555
15,873.6491520000001,510,363.6491520000001,56422.91765902219,0.900892825467383,327.2842368000001,0.0
16,1194.891264,708,486.8912640000001,56861.11979662219,0.9078895065722847,438.20213760000007,0.0
17,1257.7628160000002,608,649.7628160000002,57445.90633102219,0.9172266698231231,584.7865344000002,0.0
18,1320.634368,350,970.634368,58319.47726222219,0.9311747926268913,873.5709312,0.0
19,1643.3832959999995,350,1293.3832959999995,59483.52222862219,0.9497608530835414,1164.0449663999996,0.0
20,1966.132224,350,1616.132224,60938.04123022219,0.9729848511930735,1454.5190016,0.0
21,2242.87488,350,1892.8748799999998,62629.99999999999,1.0,1703.587392,0.0
22,2519.617536,350,2169.617536,62629.99999999999,1.0,1952.6557824000001,0.0
23,2718.959616,350,2368.959616,62629.99999999999,1.0,2132.0636544000004,0.0
24,2918.3016959999995,350,2568.3016959999995,62629.99999999999,1.0,2311.4715263999997,0.0
25,2932.886016,450,2482.886016,62629.99999999999,1.0,2234.5974144,0.0
26,2947.4703360000003,510,2437.4703360000003,62629.99999999999,1.0,2193.7233024,0.0
27,2869.834752,1010,1859.8347520000002,62629.99999999999,1.0,1673.8512768000003,0.0
28,2792.199168,410,2382.199168,62629.99999999999,1.0,2143.9792512000004,0.0
29,2628.42624,350,2278.42624,62629.99999999999,1.0,2050.583616,0.0
30,2464.6533119999995,350,2114.6533119999995,62629.99999999999,1.0,1903.1879807999997,0.0
31,2227.212288,350,1877.2122880000002,62629.99999999999,1.0,1689.4910592,0.0
32,1989.771264,350,1639.771264,62629.99999999999,1.0,1475.7941376,0.0
33,1698.0710399999998,350,1348.0710399999998,62629.99999999999,1.0,1213.2639359999998,0.0
34,1406.370816,450,956.3708160000001,62629.99999999999,1.0,860.7337344000001,0.0
35,1087.077888,450,637.077888,62629.99999999999,1.0,573.3700992,0.0
36,767.78496,1010,-242.21504000000004,62360.87217777777,0.9957028928273635,0.0,269.1278222222223
37,463.6569599999999,1010,-546.3430400000001,61753.824355555545,0.9860102882892472,0.0,607.0478222222223
38,159.52895999999998,608,-448.47104,61255.52319999999,0.978054018840811,0.0,498.30115555555557
39,79.76447999999999,608,-528.23552,60668.59484444444,0.9686826575833377,0.0,586.9283555555555
40,0.0,930,-930.0,59635.2615111111,0.9521836422019976,0.0,1033.3333333333333
41,0.0,1110,-1110.0,58401.928177777765,0.9324912690049141,0.0,1233.3333333333333
42,0.0,1050,-1050.0,57235.2615111111,0.9138633484130785,0.0,1166.6666666666667
43,0.0,750,-750.0,56401.928177777765,0.9005576908474816,0.0,833.3333333333333
44,0.0,590,-590.0,55746.37262222221,0.8900905735625454,0.0,655.5555555555555
45,0.0,590,-590.0,55090.817066666656,0.8796234562776092,0.0,655.5555555555555
46,0.0,410,-410.0,54635.2615111111,0.8723496968084162,0.0,455.55555555555554
47,0.0,350,-350.0,54246.37262222221,0.866140389944471,0.0,388.88888888888886
